	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19
5-8:het:0-100kb	0.000741211739085522	0.00171720066215018	0.00551728022069121	0.0686062413721248	0.00336830501398355	0.00362531974622762	0.01467759	0.0326179753058171	0.00171967180297676	0.0059620799403792	2.94500002945e-05	0.0004479400044794	0.0005532899900322	0.01032126	0.0004962099950379	0.00230818	0.0018513300185133	0.015153	0.00031093
5-8:het:100kb-1Mb	0.000116379997825296	0.0116304115709387	0.0395237415809497	0.0568657611373152	0.00720901493463165	0.00454923968155322	0.16196039	0.127337371404407	0.0013502100115523	0.0400566595994334	0.043802700438027	0.0078349700783497	0.0006576149990447	0.04438502	0.012403599875964	0.02222437	0.0278089602780896	0.14454268	0.00022234
5-8:het:1Mb-10Mb	0.00020400217390953	0.0193355479083318	0.162603386504135	0.0113451102269022	0.00830954494086235	0.00205141985640061	0.21136197	0.0612414808255212	0.00113610546830412	0.0121090798789092	0.185368841853688	0.0015635100156351	0.0001404700042141	0.08961901	0.12902795870972	0.14409608	0.0216142602161426	0.10976846	9.72e-06
5-8:het:10Mb-40Mb	1.93486956274217e-05	0.0256416712952565	0.122266014890641	0.0046315200926304	0.000973130008842101	0.000264269981501101	0.0048432	0.00836119516503	0.000468091818196755	0.0018386599816134	0.057285500572855	0.0013127900131279	0.00033354001000595	0.08336645	0.0551666294483337	0.18136026	0.0034469600344696	0.01800115	0.00012714
5-8:het:>40Mb	0.000525661739173026	0.0441748070746252	0.0769365630774625	1.00000002e-08	0.0012768400382912	2.18999984670001e-05	0.00032996	0.0045285650874426	0.0004135518118722	0	0.0164953901649539	0.0006967100069671	0.00204562003152835	0.25307107	9.9999999e-09	0.09531375	2.300000023e-07	0.00182344	0.00247148
9+:het:0-100kb	0.000105258261933196	0.000991451007936054	0.0025461801018472	5.16300010326e-05	0.00302902502894695	0.0167008988309371	0.02554054	0.0949474555689958	0.00168183001348604	0.0004710299952897	1.00000001e-08	2.48400002484e-05	1.2800000139e-06	0.00338768	5.39099994609e-05	0.0093412	0.0050395600503956	0.0035707	5.991e-05
9+:het:100kb-1Mb	0.000318177391321617	0.00324100962706138	0.0017438300697532	2.15100004302e-05	0.00738561995063	0.043428956959973	0.16018674	0.266746762108847	0.0042520609300749	0.000251199997488	8.1300000813e-06	0.0001816600018166	8.60000023050001e-07	0.0033166	7.48599992514e-05	0.05049958	0.0048479700484797	0.00971177	0.00011614
9+:het:1Mb-10Mb	0.000187035217402435	0.00377986464128337	7.10000028400001e-07	2.600000052e-07	0.006117539940007	0.00489713965720022	0.14906452	0.110528846327574	0.000808817272958828	9.9999999e-09	0.0527943205279432	0.0001602700016027	9.05000025900001e-07	0.00998959	0.0001389899986101	0.08409049	0.0133215801332158	0.00568101	3.6e-07
9+:het:10Mb-40Mb	1.74304348222609e-06	0.00190840434394782	0.0019746200789848	2.400000048e-07	6.79400011268e-05	3.35799976494002e-05	0.00053612	0.0018099250361383	3.11663634345182e-05	0.0001215299987847	0.0060575200605752	0.0001319300013193	2.03150005807e-05	0.00316669	0.0001234099987659	0.01848061	1.56300001563e-05	0.00085042	0.00015659
9+:het:>40Mb	1.17552173930391e-05	0.00209996035074306	0.0020310800812432	1.47400002948e-05	9.30000027890001e-05	2.35699983501001e-05	2.253e-05	0.0010858550217163	2.92863633713909e-05	0.0003077699969223	0.000392100003921	3.55100003551e-05	4.14100012178e-05	0.0067409	9.9999999e-09	0.00241512	2.72200002722e-05	3.526e-05	2.306e-05
