Mutation_types	CNS1	CNS2	CNS3	CNS4	CNS5	CNS6	CNS7	CNS8	CNS9	CNS10	CNS11	CNS12	CNS13	CNS14	CNS15	ART 1	ART 2	ART 3
1:LOH:10Mb-40Mb	0.00010096	0.076229355	0.047297757	0.00040994	0.02105378	0.00290428	0.00550295	0.000483364	0.00184154	0.0087199	0.00366415	0.000573685	4.03e-05	0.00183077	0.00204512	0.003555775	0.02090447	0.002622552
1:LOH:>40Mb	0.00230378	0.027000693	0.073645999	0.00017917	0.00174097	0.00148398	1.34e-06	0.000124322	5.7499999999999995e-05	0.00409212	0.006089315	8.1e-05	4.64e-06	0.001703205	0.00064424	0.002450425	0.00226301	0.00227007
2:LOH:0-100kb	0.014146299999999999	0.004119057	0.001187984	0.019251449	0.00566334	0.00635726	0.00055893	0.002488917	0.00148901	0.00138849	0.01111584	0.013351499999999999	0.00590696	0.000472365	0.00067984	0.00299482	4e-08	0.0032533759999999997
2:LOH:100kb-1Mb	0.040089381	0.013774233	0.0043031020000000005	0.177292158	0.054896441	0.087823539	0.00062269	0.019464869	0.01694496	0.033835141	0.0222829	0.255496412	0.08093648099999999	0.01308394	0.01758306	0.073916265	0.00033402	0.270457816
2:LOH:1Mb-10Mb	0.00618009	0.011594393	0.004438013	0.116382852	0.117067141	0.13191049900000001	0.08444232900000001	0.033551542999999996	0.0439202	0.018990581	0.00829832	0.26457582399999996	0.132671041	0.027714505	0.01162738	0.079960515	0.00178993	0.20220439999999998
2:LOH:10Mb-40Mb	0.00024516	0.004945152	0.00431859	0.00632481	0.04188772	0.087069829	0.088483279	0.052291175	0.02467614	0.00267497	0.00115938	0.067065891	0.176727892	0.061904045	0.00291477	0.01765472	0.00517329	0.011946964
2:LOH:>40Mb	0.00241502	0.002407305	0.012215654	0.00026093	0.03389879	0.01593395	0.0075038	0.06737476	0.01121149	8.240000000000001e-05	0.00013197	0.01961649	0.136224511	0.283071266	0.00170498	0.00590559	0.0	0.0050787
3-4:LOH:0-100kb	0.01402566	0.001833529	0.001379947	0.00505183	0.01388264	0.00743812	0.00267395	0.0027174020000000003	0.00158209	0.0027191	0.00956472	0.005480255	0.00930253	0.00444378	0.00093853	0.001204125	0.00072698	0.000685112
3-4:LOH:100kb-1Mb	0.01144021	0.002848605	0.001667853	0.013510278999999998	0.01258572	0.068455299	0.02375527	0.013819445	0.048241900000000004	0.023811221	0.004662895	0.02685577	0.03071852	0.02138152	0.02159759	0.00824588	0.00079858	0.011435602
3-4:LOH:1Mb-10Mb	0.00010785	0.00344351	0.0015142839999999999	0.00409704	0.00110793	0.096466639	0.094627309	0.012471389	0.156264722	0.034367671	0.00349215	0.029519046	0.04005227	0.00951742	0.043701	0.010814625	0.00034028	0.005760546
3-4:LOH:10Mb-40Mb	1e-07	0.0013900070000000002	0.000102203	5.610000000000001e-05	0.00278047	0.04754809	0.051836149000000005	0.010631238999999999	0.055274160999999995	0.021891551000000002	0.002194095	0.00455209	0.02606018	0.001045855	0.0329184	0.00356193	0.0007486000000000001	0.00075315
3-4:LOH:>40Mb	1.3e-07	0.001198601	0.007367609000000001	0.00032855	0.00421117	0.01319828	0.00224311	0.017426922	0.03509218	0.025294791	0.003399115	0.00073589	0.01659015	0.003249145	0.19071235	0.005440365	0.00044828	0.000533794
5-8:LOH:0-100kb	0.025527171	0.00037593699999999996	0.00035129800000000005	0.00048949	2.59e-05	0.00260391	0.00128554	0.001689411	0.00501223	5.3e-07	0.010770475	0.00066453	0.00578286	0.00106634	0.0034784	0.000741885	1.4e-07	0.000227864
5-8:LOH:100kb-1Mb	0.00169273	0.000836165	0.000212107	0.00031046	8.14e-06	0.02207809	0.00726579	0.0034162529999999997	0.04217432	0.00256956	0.009675285	0.000652505	0.00208666	0.00056322	0.00980644	0.000521815	1.6e-06	0.000577402
5-8:LOH:1Mb-10Mb	1.9e-07	0.000661617	0.00020778299999999999	0.00021435	1.58e-05	0.02022345	0.01836005	0.004495306	0.073571791	0.0055492	0.00215584	0.000278185	0.00322838	0.001505195	0.01073875	0.001434025	1.53e-05	0.000810458
5-8:LOH:10Mb-40Mb	1.31e-05	0.000376486	9.97e-05	0.00011771	0.00068876	0.00679665	0.00502947	0.002756042	0.01532663	7.1e-07	0.001022835	0.000125705	0.00163617	0.00040227	0.00622641	0.000605405	1.4e-07	0.00011455
5-8:LOH:>40Mb	1.4e-07	0.000382635	0.00033193800000000005	0.00030406	0.00012041	0.00017289	1.29e-06	0.010089624	0.00347323	0.00535955	0.00145962	9.88e-05	0.00110016	0.0116161	0.01067078	0.002408955	1.83e-05	8.7e-05
9+:LOH:0-100kb	1.06e-05	0.000759424	0.000133995	0.00493142	0.00107168	0.00018531	0.00012468	0.000520196	0.00062013	7.1e-07	0.022043315	0.001312595	0.00048688	2.61e-05	0.00384194	0.002498515	1.4e-07	0.00049292
9+:LOH:100kb-1Mb	2.8e-07	0.0012343739999999999	0.000411988	0.00545954	0.00117826	0.0029966	5.3e-05	0.000668643	0.01160088	0.00216196	0.028381515	0.00330625	0.00011188	0.00011741	0.0047163000000000005	0.00067448	3.28e-05	0.000376804
9+:LOH:1Mb-10Mb	2.8e-07	0.0005745619999999999	0.00020077	0.00086716	1.6e-07	0.00365022	1.3699999999999998e-05	0.0008289969999999999	0.02224864	0.0022066	0.00809473	0.000649225	0.00012019	9.97e-06	2.35e-06	0.0010780999999999998	1.4e-07	0.000121946
9+:LOH:10Mb-40Mb	2.8e-07	1.0199999999999999e-05	6.51e-06	1.27e-05	1.6e-07	0.00044558	5.2900000000000005e-05	0.000350903	0.00252885	0.0021129	2.5300000000000002e-05	1.51e-05	6.14e-05	2.47e-06	2.35e-06	9.02e-05	1.4e-07	5.71e-06
9+:LOH:>40Mb	2.8e-07	4.55e-06	2.76e-06	3.4e-05	4.66e-05	9e-08	2.9e-07	0.000712768	0.00148788	0.00092755	0.00011179	1.23e-05	1.65e-05	1.89e-05	0.00333085	0.00010431	1.5e-07	2.68e-06
0:homdel:0-100kb	0.00096628	0.008181842	0.001795054	0.0034924999999999995	0.00591472	0.00779524	0.00136668	0.002237674	0.00161374	0.064044243	0.00021626	0.02582249	0.02309338	0.00854255	0.0036673	0.26686617100000004	0.24410253	0.00037171599999999996
0:homdel:100kb-1Mb	0.00021955	0.020999188999999998	0.0038071040000000004	0.007550309	0.00677398	0.03122532	0.00143123	0.007195788000000001	0.0059027	0.00640384	0.000720975	0.02499357	0.052724771	0.018208835	0.00109281	0.02038467	0.02413956	0.0007605460000000001
0:homdel:>1Mb	6.12e-05	0.009009219	0.002436746	0.00133617	0.0041105	0.00455881	0.0014533	0.003837108	0.00313081	0.013033431000000002	0.00026934	0.0038887	0.0068661	0.00050914	0.04053983	0.001282235	0.00355824	0.000575594
