MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
5:Del:R:3	0.00155703	0.00000000	0.00119808	0.02747293	0.00013140	0.02494466	0.00005774	0.00000000	0.00085862	0.00000000
5:Del:R:4	0.00048125	0.00000000	0.00193344	0.01672283	0.00023577	0.02247201	0.00037862	0.00014449	0.00000000	0.00000000
5:Del:R:5	0.00002035	0.00000000	0.00000000	0.01523992	0.00021838	0.00570121	0.00012370	0.00361266	0.00000000	0.00001596
2:Ins:R:0	0.00085350	0.00277769	0.00000000	0.01178023	0.00014689	0.02714711	0.00000000	0.00000000	0.00868537	0.04143614
2:Ins:R:1	0.00000000	0.00228333	0.00250878	0.00203880	0.00033492	0.00813723	0.00211205	0.00481372	0.00692081	0.00463030
2:Ins:R:2	0.00007962	0.00210142	0.00137950	0.00115155	0.00011238	0.00529120	0.00076698	0.00246804	0.00712070	0.00000000
2:Ins:R:3	0.00062381	0.00088725	0.00095776	0.00011319	0.00000001	0.00219785	0.00000000	0.00046558	0.00282409	0.00000000
2:Ins:R:4	0.00260210	0.00452856	0.00031794	0.00038946	0.00000061	0.00279497	0.00000000	0.00028431	0.00032691	0.00272016
2:Ins:R:5	0.01132653	0.02797898	0.01883186	0.00144747	0.00023237	0.00165461	0.00512497	0.00259540	0.00914044	0.00458003
3:Ins:R:0	0.00000000	0.00047041	0.00072067	0.00392220	0.00023558	0.00871099	0.00002922	0.00515977	0.00031106	0.00852936
3:Ins:R:1	0.00000000	0.00315263	0.00151051	0.00127929	0.00000002	0.00416675	0.00178954	0.00569510	0.00892886	0.00159266
3:Ins:R:2	0.00000000	0.00000000	0.00112588	0.00051289	0.00000001	0.00110712	0.00048538	0.00135847	0.00090636	0.00087649
3:Ins:R:3	0.00004362	0.00004636	0.00003454	0.00000000	0.00000002	0.00215588	0.00008375	0.00000000	0.00000000	0.00000000
3:Ins:R:4	0.00011752	0.00002384	0.00000000	0.00039545	0.00000001	0.00000000	0.00000000	0.00000000	0.00053787	0.00003038
3:Ins:R:5	0.00075977	0.00252070	0.00108322	0.00010459	0.00008356	0.00018572	0.00000000	0.00000000	0.00047041	0.00099113
4:Ins:R:0	0.00003505	0.00168374	0.00031828	0.00007468	0.00068413	0.01399481	0.00047588	0.00000000	0.00251761	0.01268110
4:Ins:R:1	0.00000000	0.00495487	0.00000000	0.00250883	0.00000001	0.00362340	0.00299832	0.00392978	0.00971432	0.00104605
4:Ins:R:2	0.00000960	0.00000000	0.00040203	0.00013246	0.00000000	0.00164182	0.00008299	0.00078326	0.00065313	0.00027887
4:Ins:R:3	0.00006263	0.00017340	0.00016679	0.00014827	0.00000000	0.00149955	0.00004288	0.00052682	0.00012831	0.00033544
