Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
AC>CA	5.22346131803265e-05	0.000394183059661277	0.00684352375929445	0.00434634982867543	0.00217370119756258	0.00276529555637967	0.0500850051830904	0.218746039744961	0.0257554064460654	0.0107605899999433	0.00142967281575357
AC>CG	2.77463538825074e-05	3.34107031851939e-05	5.01139928830223e-05	5.20722105078023e-05	0.00046927567909996	0.000151779380162192	0.00681985364693496	0.000989953007776032	0.00216722322533965	1.97780314640701e-05	0.000202450019165103
AC>CT	0.00450878250590746	0.000132799640420644	0.00325471523670382	8.73469337550232e-18	0.00205181141078337	0.000249500350951549	0.0148400015357305	0.323540654134408	0.0298385806387343	0.0150849392522569	0.00078892894066401
AC>GA	0.00013347677814691	0.000249789799838831	0.00630466362076733	0.00461930899665988	0.000566787508523328	0.00891963754651787	0.0106171481575484	0.00118021119118211	0.0264882838652623	0.00597810555552403	0.000461252105520492
AC>GG	6.00120002534536e-05	4.39503571868323e-18	0.00048497412467441	7.35939910604222e-18	1.1274805277077e-17	0.000108116818745671	0.00277158852211437	0.000824112986946131	0.00746487999839213	0.000659267715469006	0.00234800279959527
AC>GT	0.00311095482925083	0.000295110312045877	0.0108849747982479	1.1758241082407e-08	0.000834945039437591	0.000137225193023352	0.00491029462579317	0.00015363093954181	0.0126683096746907	0.0320694634473907	0.00595870932697287
AC>TA	0.00126119790375033	0.00155986879224249	0.00108849747982479	0.00133330055130865	0.00150330737027693	0.0104998064358777	0.005914177082622	0.0126160506643605	0.043135070958451	0.000117327305295332	0.000275498995152512
AC>TG	0.000180771699537548	6.70321994504205e-06	1.19626950753021e-17	5.57466608460544e-05	0.0011376380099393	0.000466773573238523	0.00108899423034258	0.00261477824253279	0.0187407225766085	8.55930627202133e-06	0.000249410075157009
AC>TT	0.02785145370782	0.00307757896847842	1.91834209315655e-06	0.0001690247155596	0.00758763922700584	0.00330587965010802	0.00128758836854132	0.000272669482100695	0.0464853677319229	0.000793356064377956	0.00294283017549273
AT>CA	0.00045570038901867	3.58383924341285e-05	0.00682510096138473	0.000865067862784007	9.86825114541466e-05	0.000106609311195609	0.0108955305613972	2.54435029031026e-05	0.0119609971976128	0.00354825537553979	0.00889927846811243
AT>CC	0.000280794638046774	3.95360043519355e-18	0.00880282908087689	6.61078061079482e-18	1.94623842034567e-05	5.97573244333284e-05	0.00614468660489609	0.000130878450185025	0.00167642322927173	0.00116599893360515	0.00178361066344025
AT>CG	3.76283723712512e-06	3.95360043519355e-18	0.0141543286983263	8.93399779687414e-18	9.59413305804203e-18	1.70200830154394e-06	0.00108955305613972	0.000243452222022493	8.68349560330637e-18	0.00260339417072183	1.6334118707295e-05
AT>GA	0.00200432536248875	0.000159281744151682	0.00175474896876511	0.000305984702556789	0.00101423692327873	0.00151497442225339	0.0141347423499207	0.000148267894615202	0.00599933481486568	8.10168224556677e-05	0.0105139154897531
AT>GC	0.000164505949562757	5.54641787671037e-06	0.0050897414839872	1.66213912499984e-05	9.59413305804203e-18	1.60849136189866e-05	0.00911887197435858	0.000206842865327381	0.00170467755336058	0.00410109969750774	0.00392394345956856
AT>TA	0.00221232139067155	0.000434232373937325	0.0022782652356895	0.00427811945241436	0.00072458547762165	0.00205737267219597	0.0333736972150906	0.000288298683974005	0.00866465938724713	0.00294515247884747	0.0036047710250582
CC>AA	1.05861436224853e-05	0.725094886662914	0.00930893203773137	6.9831649404185e-18	1.01345692058255e-17	8.19913304876241e-18	9.37331884463093e-18	0.0368346576044497	8.9736630987978e-18	0.0145465594627212	7.28841937085422e-18
CC>AG	1.22839213732614e-05	0.0727097911211706	1.13673427523452e-17	0.00541694080378178	0.0234542887334818	0.0608513970847909	8.60603389495982e-05	0.0149852281592906	0.0262643798013594	7.5705816765841e-05	0.000963856275982354
CC>AT	0.0186755552585355	0.100151227439629	0.00603186025327148	0.0156622413663672	0.00234542887334818	0.000432677141609391	0.000883414563675394	0.0278435207088753	0.0193998259896405	0.0111488229458812	0.0342109480672749
CC>GA	0.000133824834472929	0.0177267672568143	0.000650293932228759	0.00354146221978367	6.52473217441716e-05	0.0350685811121766	0.000313135209190104	0.000782132231023617	0.0109434915838997	0.00359947712252736	0.000945015464003274
CC>GG	9.80716324271757e-05	0.00045068052347833	7.42461576166693e-05	7.28244343786501e-05	1.14858450999355e-05	0.0178800371304337	0.00212558668489972	5.41401791561465e-05	0.00304428038606666	7.8678836218076e-18	0.00342109480672749
CC>GT	0.00691095413845271	0.00110166350183592	1.16745682321384e-17	7.97078398199197e-05	2.39368872670925e-05	0.00339819490213768	0.000169010063238368	0.000221394661192099	0.0178080453956187	0.00114673607443349	0.0689177069761045
CC>TA	0.0103864050635706	0.0160241963903406	0.0213009665989893	0.000169591148553021	0.00122580027537127	0.00219302112870513	9.37331884463093e-18	0.000692220862067873	0.000683470792558102	0.0253768446101487	0.0583073549668337
CC>TG	0.00254666662616393	0.000237358409031921	2.96984630466677e-05	8.28003842935337e-06	0.00464259789333529	0.00678651133072262	0.000244701686651869	0.00407018132584601	0.015420374504586	7.8678836218076e-18	0.0320293803644342
CC>TT	0.85687841774457	4.17630618423253e-18	1.13673427523452e-17	6.9831649404185e-18	1.01345692058255e-17	8.19913304876241e-18	9.37331884463093e-18	0.00423453544114146	8.9736630987978e-18	0.0218729288271574	0.329218398792327
CG>AT	5.0623775986556e-07	0.000968187393958088	0.000244489168494116	0.000243196636961424	0.00133065401504395	0.0062613285689743	5.41279858702086e-05	0.000261693442535245	0.000183152413084368	6.61398543895751e-18	0.0015171296974765
CG>GC	4.55026311520952e-06	0.000310661868148291	9.55573862776296e-18	4.27690637414917e-06	8.04883404221706e-05	0.000489944808447591	0.000162994095937665	9.18365186536731e-18	1.00357486621572e-05	1.6958937022968e-05	0.00013837556581379
CG>GT	1.42720429812845e-06	0.00107763466457944	9.55573862776296e-18	5.87026365079298e-18	0.00525770610822243	0.00267393607322245	1.80426619567362e-05	0.000983382190893314	8.3129451418202e-05	9.10427145443548e-06	0.000983633540122122
CG>TA	0.000298873370666898	3.5107316807002e-18	0.0842798929421619	5.87026365079298e-18	8.51943119387894e-18	6.89244391544917e-18	7.87950068062294e-18	0.000411232552555385	7.54353774438815e-18	0.319542076538028	6.15187756449259e-18
CG>TC	1.0578102444952e-05	0.00181008947566077	0.000621553449481521	5.87026365079298e-18	2.41789571026278e-05	0.0073989970224882	4.24481950383117e-05	0.00073550486178384	0.000111229547672242	0.00236532542688764	0.000571007605918351
CG>TT	0.000104101960569369	0.00468097557426693	0.00617249062712258	0.000302737882562324	0.00180125116670583	0.0155287591829999	2.72818994804755e-05	0.000267382430416446	6.93302970077359e-05	0.00693531266676112	0.000582677834360478
CT>AA	2.89171121930797e-05	0.00336050497838121	0.000110259605815181	7.29954070119182e-18	0.470159422987546	0.00462605817416544	9.79798171680179e-18	0.0208181491810644	9.38021936863087e-18	0.00436189798511303	0.00456080942528533
CT>AC	0.000437410469635392	4.36551581303728e-18	0.0311510148468134	7.29954070119182e-18	0.210865492284114	0.00201357442848719	1.0946860103949e-17	0.0141482567249952	9.38021936863087e-18	0.0144286701797632	0.00243588685214103
CT>AG	2.97522634477534e-18	0.000614522249940739	0.122034903523599	0.000378533324933233	0.0269383188707456	0.0407877897052533	0.001365647894156	0.0206160312278502	0.000605242535758665	0.0294122892125942	0.000514127607941255
CT>GA	9.31193648961264e-05	1.89486417784112e-05	1.84122836895255e-05	0.000701798698843156	0.0162437053864796	0.00757930066927997	0.00202679489053312	0.00562898499701598	0.00295341718480173	8.22434200246503e-18	0.0120239521212068
CT>GC	0.00026307264522224	0.000140282762337409	2.87959553051299e-05	7.52895483751499e-05	0.00489329013195192	0.00184835806512414	0.0169080215466934	0.000239509774558848	0.00323419980448359	8.22434200246503e-18	0.00633330581556666
CT>GG	1.12745419380961e-05	9.40103884917858e-05	6.41218484303822e-05	0.000965624955614804	0.000575087706229401	0.00703202146563986	0.0043353901401778	0.000309240468417754	0.0108153305358937	8.22434200246503e-18	0.00416692133855614
CT>TA	0.00815316412375278	0.00353847564701822	0.000196968616213528	7.29954070119182e-18	0.00336981217334421	9.12820407580858e-05	9.79798171680179e-18	0.0110154284501749	9.38021936863087e-18	0.00447288775572659	0.043224034780545
CT>TC	0.0109613602175933	4.02004333862425e-05	0.00678685340648787	7.29954070119182e-18	0.000239115414695383	8.57059884945828e-18	0.0684991642148091	0.0179884978360654	3.11980688535395e-05	0.00305221869187298	0.00309927731400071
CT>TG	0.00233842351308658	0.000408285651579025	0.05587914003449	3.21179790852441e-05	0.000881801149551749	0.0115651454354136	9.79798171680179e-18	0.000976229714024673	9.83779104514945e-18	0.0507223251703984	0.00153409044305052
GC>AA	0.00150497992834411	0.00485245697103084	2.10975211996575e-05	0.312082781576652	0.000122436058153998	7.82005195118344e-18	8.93995010010047e-18	0.0118949624734071	8.55877215403997e-18	0.00413182183995889	0.000945774758345467
GC>AG	0.000101919526792924	0.000310442621178154	0.000509856762325057	0.0107516324140737	0.00244872116307996	0.00344836025799174	7.21920749233778e-05	0.00785620777313398	0.117659395465738	7.50411760639593e-18	0.00311159895495659
GC>AT	4.63876724749102e-05	0.000910313286100863	0.00389718099938118	0.0087916003102691	0.00144529782933667	0.00177128887568975	0.000346126386618934	0.00508071652933899	0.119557127650669	0.00784843609305917	0.0257250734269967
GC>CA	5.48650910586208e-05	0.00101252054907337	0.000231486690940687	0.0113225155511041	0.00421621914545346	0.00818750017539567	0.000662584797241961	0.00445369525167102	0.0259989309335583	0.00010633365029306	0.00199558474010893
GC>CG	4.90547255124821e-06	6.39034195594416e-05	1.08417817276018e-17	9.35296872834906e-07	0.000297344712659709	8.51726140225281e-18	0.00262067121297193	0.00022314580764066	0.00237216523116407	7.50411760639593e-18	0.00382093002371569
GC>TA	7.87733165025684e-07	0.000703033135960373	0.0041315979015996	0.0168410525423986	0.000204366954211936	0.000781063020184466	6.170939007149e-06	0.00789309137770268	0.0132841252945188	0.00284569102212855	0.000229823266277948
TA>AT	0.000485946755862524	0.00265371550957686	0.00143076850356209	0.0292208763282157	0.00173909374347593	0.00815710506086351	0.0557473915480153	0.00903584533053559	0.0148579986241201	0.0106399221725309	0.00213067038842407
TA>CG	7.26514456784565e-06	1.82382629567282e-05	0.00329570124268785	0.000373911871436707	7.33767360215243e-06	0.000246521611524347	0.00304712444841303	1.94689863307416e-05	0.00129408375113304	0.00420481539702907	0.000557987222798051
TA>CT	0.000675514104189092	0.000270196488247826	0.000339437493258868	0.00838177768361977	0.00211109240518201	0.0248425253312179	0.0290725644094488	0.00381927483043257	0.0136118439008068	0.00165737249225964	0.00322944659770105
TA>GC	1.93416431541321e-05	7.93219690498974e-05	0.00196360642902659	6.74771552052876e-05	4.85458253526435e-05	0.000251280715993929	0.0015085763662635	0.000734977522246657	0.000555018142152615	7.58094454792833e-18	0.000974566724750022
TA>GG	6.76476374992781e-05	7.61375104384051e-05	0.00538758346858552	0.00213389294238944	0.00151589454645228	0.000207496954873775	0.00430593651562627	0.000202142106878992	0.00311538680828325	0.00878816648673473	0.000358296589981625
TA>GT	0.00110661142424139	0.00125448369543633	0.000357198757441018	0.00774737707912561	0.00177629360964653	5.94888058697747e-05	0.0262752042600861	0.000142524158306386	0.00745775672875189	0.00369328067719585	0.00255107172066917
TC>AA	1.13457300586367e-05	0.00151355536060381	0.00585979405585804	0.394064672046557	0.04064165554995	0.0471551739752792	0.0211814195816134	0.0390964584978928	0.00382616435346625	0.00836634071342167	0.000224274439764235
TC>AG	3.21635833772362e-06	0.000208766256635009	6.5535765943476e-06	0.00194432964835637	0.0149891254379766	0.00852499651780155	4.32273869012519e-06	0.0116886319220504	0.0484232724408872	0.000299904541446728	0.0489889790084091
TC>AT	0.00256059595818773	4.35277645083994e-18	0.0011954406817051	0.00874428467522837	0.000752474216617887	0.000611575837146633	0.00247476790009667	0.0186413526343046	0.0537114670757593	0.00341957576778743	0.0874360258251351
TC>CA	4.60074558341048e-06	0.00071189293512538	0.0699119327247179	0.0879627209898121	0.00143855364941655	0.0121491496268186	0.00292865546255982	0.0177344760196627	0.0506007643493639	0.0278878023780722	0.000291453419417117
TC>CG	3.43494579756891e-05	4.06050369155092e-06	0.000123813499176599	0.000415899390022752	1.06634046739968e-17	0.000887505676128615	0.00176151601622602	0.0109832834439957	0.00807745807953986	0.00093180673025146	0.00334861375500517
TC>CT	0.00197769606526694	0.00349683479863641	0.0207067403795348	8.60911737347097e-06	0.00105628065166949	0.00966784025388365	0.00993149214056262	0.00882693238251394	0.0532967067122399	0.0289944612025989	0.0207738075541988
TC>GA	6.68253091527042e-05	0.000923790685609914	0.0830404330684435	0.0378468444920705	2.47471466962567e-05	0.00755718290346176	9.76938943968292e-18	0.00968342696300901	0.017938385722213	0.0484716565142684	0.000242877849514264
TC>GG	0.000427806885697219	1.03026147649377e-05	0.000188922322019466	1.08133841405915e-05	3.50081587410461e-05	0.00155467931665222	0.000762963378807096	0.00192459370440658	0.00386764038981819	8.20034188974267e-18	0.00757572185931727
TC>GT	0.00530855259624286	8.94563409681012e-05	0.0463233264160726	7.27823932539816e-18	3.88308887185166e-05	8.54558829683006e-18	9.76938943968292e-18	0.000278108828490165	9.48764331550573e-18	0.0507956400457744	0.0157095460111354
TG>AA	0.00139793221830418	0.00302887686441813	6.98949935998292e-05	0.00777700590269148	0.0177509716051337	0.025737339566502	0.0239423640212732	0.00854439662081492	0.0160603106189327	0.00154049997063256	0.00793307220659423
TG>AC	0.000241832069881818	0.000225119226409455	8.41251120572795e-05	0.000120273485782123	0.00143980103019418	0.0101940050832027	0.00277561919184672	0.00380299733990028	0.0073897758354203	0.000224565840789396	0.000877399812376833
TG>AT	0.00245913623803873	0.00438982491498438	0.00100238628545863	7.13486780063438e-18	0.0201177678191516	0.223056942909684	0.00136662166316117	0.00811964626856631	0.000758290615298974	0.00271214783562071	0.0106382194341302
TG>CA	0.000284688386063405	0.000147350766377098	0.0166366826083426	0.000819490530244293	0.00046941458244687	0.0115061047473774	0.0253195796508154	0.00499822507529751	0.0231756381083333	0.03167788672005	0.0568384866909242
TG>CC	0.000105100013492942	6.07821911305529e-05	0.000506424803926906	0.000122312019439446	0.000498999535122093	0.0079634356541059	0.00111236647001491	0.00123473939607152	0.0119944091964181	0.000206123235507174	0.00317120255512643
TG>CT	0.0018877186889509	0.00314143647762285	0.0063512366938767	8.36818066331547e-05	0.000323462149249103	0.277559544344629	9.57694560850925e-18	0.0192619345787157	0.000983948144248535	0.00469744005129507	0.00565345375642347
TG>GA	0.000415298111569196	0.00150420574009955	0.000547231761268124	0.00800124460499713	0.00322475984159929	0.00750924730881468	0.00874002226440281	0.000267691501068306	0.00628181769778506	2.19141545118153e-05	0.00740622705366588
TG>GC	9.07125359176943e-05	0.000278329225378962	0.000521073455280164	0.000615637164511882	0.000287960206038836	0.00565212163029061	0.00411045895586459	0.00349678196967455	0.00397441864050803	8.03880618477979e-18	0.00620056218446445
TG>GT	0.00193873811297659	0.00654892295009325	0.0107772220670395	3.29223185657844e-05	0.0815558528746977	0.0276550236910648	0.00922734471793315	0.00776404132249772	0.0033950276877997	0.00235414432131878	0.00530897807950878
TT>AA	0.00506476937531443	0.00398739224630384	0.00304612177845247	1.65875474692914e-05	0.00438668560929518	0.000176117521099159	0.225085871605868	0.00319720218980901	0.000313381255139308	0.0142220805883719	0.00436937990700832
TT>AC	0.000664232049221564	0.00031917640950692	0.00229878134212406	6.08210073874018e-07	0.000861288272068931	0.000116803330055401	0.0383124887839776	1.00917275823581e-17	0.00612058404465629	7.26797359723006e-18	0.000952653061486088
TT>AG	0.00038562360635363	0.00019890703780866	0.0216634126480004	6.45071290472443e-18	0.000796201270142397	0.00193455515404258	0.0516260786364098	0.0130388692657015	0.000843648071020192	0.00682659868241852	0.00116333595008398
TT>CA	0.000668844771785603	3.85787138447495e-18	0.000656524383306215	6.45071290472443e-18	9.36182904422751e-18	7.5739659332799e-18	0.0935782538548653	0.00561743066310019	8.29862971820516e-18	0.00126527475579308	0.0018503453694249
TT>CC	0.00500019125941789	2.75694405892933e-06	0.00771936450688575	6.45071290472443e-18	0.000689208938208368	7.5739659332799e-18	0.0339065525738202	0.000262563531788784	0.00474207412468866	0.00282479945479387	0.00366405023648496
